congressional_unit_id,associated_province,province_congressional_unit_number,representatives_count,districts
142,Tỉnh Quảng Ngãi,2,3,"Thành phố Quảng Ngãi, Huyện Tư Nghĩa, Huyện Nghĩa Hành, Huyện Lý Sơn"
143,Tỉnh Quảng Ngãi,3,2,"Thị xã Đức Phổ, Huyện Mộ Đức, Huyện Ba Tơ, Huyện Minh Long"
144,Tỉnh Quảng Ninh,1,3,"Thành phố Hạ Long, Thành phố Cẩm Phả"
145,Tỉnh Quảng Ninh,2,3,"Thành phố Uông Bí, Thị xã Dông Triều, Thị xã Quảng Yên"
146,Tỉnh Quảng Ninh,3,2,"Thành phố Móng Cái, Huyện Vân Đồn, Huyện Cô Tô, Huyện Tiên Yên, Huyện Đầm Hà, Huyện Hải Hà, Huyện Bình Liêu, Huyện Ba Chẽ"
147,Tỉnh Quảng Trị,1,3,"Huyện Vĩnh Linh, Huyện Gio Linh, Huyện Đakrông, Huyện Hướng Hóa, Huyện Đảo Cồn Cỏ"
148,Tỉnh Quảng Trị,2,3,"Thành phố Đông Hà, Thị xã Quảng Trị, Huyện Triệu Phong, Huyện Cam Lộ, Huyện Hải Lăng"
149,Tỉnh Sóc Trăng,1,3,"Thành phố Sóc Trăng, Huyện Châu Thành, Huyện Kế Sách, Huyện Long Phú, Huyện Cù Lao Dung"
150,Tỉnh Sóc Trăng,2,2,"Thị xã Ngã Năm, Huyện Mỹ Tú, Huyện Thạnh Trị"
151,Tỉnh Sóc Trăng,3,2,"Thị xã Vĩnh Châu, Huyện Mỹ Xuyên, Huyện Trần Đề"
152,Tỉnh Sơn La,1,3,"Thành phố Sơn La, Huyện Thuận Châu, Huyện Mai Sơn, Huyện Yên Châu"
153,Tỉnh Sơn La,2,2,"Huyện Mường La, Huyện Sông Mã, Huyện Sốp Cộp, Huyện Quỳnh Nhai"
154,Tỉnh Sơn La,3,2,"Huyện Mộc Châu, Huyện Vân Hồ, Huyện Phù Yên, Huyện Bắc Yên"
155,Tỉnh Tây Ninh,1,3,"Thị xã Trảng Bàng, Huyện Bến Cầu, Huyện Gò Dầu, Huyện Châu Thành"
156,Tỉnh Tây Ninh,2,3,"Thành phố Tây Ninh, Thị xã Hòa Thành, Huyện Tân Biên, Huyện Tân Châu, Huyện Dương Minh Châu"
157,Tỉnh Thái Bình,1,3,"Huyện Vũ Thư, Huyện Hưng Hà, Huyện Quỳnh Phụ"
158,Tỉnh Thái Bình,2,3,"Huyện Đông Hưng, Huyện Thái Thụy"
159,Tỉnh Thái Bình,3,3,"Thành phố Thái Bình, Huyện Tiền Hải, Huyện Kiến Xương"
160,Tỉnh Thái Nguyên,1,2,"Huyện Đại Từ, Huyện Định Hóa, Huyện Phú Lương"
161,Tỉnh Thái Nguyên,2,3,"Thành phố Thái Nguyên, Huyện Đồng Hỷ, Huyện Võ Nhai"
162,Tỉnh Thái Nguyên,3,2,"Thành phố Sông Công, Thị xã Phổ Yên, Huyện Phú Bình"
163,Tỉnh Thanh Hóa,1,3,"Thành phố Thanh Hóa, Thành phố Sầm Sơn, Huyện Hoằng Hóa, Huyện Đông Sơn"
164,Tỉnh Thanh Hóa,2,3,"Thị xã Bỉm Sơn, Huyện Hà Trung, Huyện Nga Sơn, Huyện Hậu Lộc, Huyện Vĩnh Lộc, Huyện Thạch Thành"
165,Tỉnh Thanh Hóa,3,3,"Thị xã Nghi Sơn, Huyện Quảng Xương, Huyện Nông Cống, Huyện Như Xuân, Huyện Như Thanh"
166,Tỉnh Thanh Hóa,4,3,"Huyện Triệu Sơn, Huyện Thiệu Hóa, Huyện Yên Định, Huyện Thọ Xuân"
167,Tỉnh Thanh Hóa,5,2,"Huyện Quan Hóa, Huyện Quan Sơn, Huyện Mường Lát, Huyện Lang Chánh, Huyện Bá Thước, Huyện Ngọc Lặc, Huyện Thường Xuân, Huyện Cẩm Thủy"
168,Tỉnh Thừa Thiên Huế,1,2,"Thị xã Hương Trà, Huyện Phong Điền, Huyện Quảng Điền, Huyện A Lưới"
169,Tỉnh Thừa Thiên Huế,2,3,"Thành phố Huế, Thị xã Hương Thủy"
170,Tỉnh Thừa Thiên Huế,3,2,"Huyện Phú Vang, Huyện Phú Lộc, Huyện Nam Đông"
171,Tỉnh Tiền Giang,1,3,"Thị xã Cai Lậy, Huyện Cái Bè, Huyện Cai Lậy"
172,Tỉnh Tiền Giang,2,2,"Thành phố Mỹ Tho, Huyện Tân Phước, Huyện Châu Thành"
173,Tỉnh Tiền Giang,3,3,"Thị xã Gò Công, Huyện Chợ Gạo, Huyện Gò Công Tây, Gò Công Đông, Huyện Tân Phú Đông"
174,Tỉnh Trà Vinh,1,3,"Thành phố Trà Vinh, Huyện Càng Long, Huyện Cầu Kè, Huyện Tiểu Cần"
175,Tỉnh Trà Vinh,2,3,"Thị xã Duyên Hải, Huyện Châu Thành, Huyện Cầu Ngang, Huyện Trà Cú, Duyên Hải"
176,Tỉnh Tuyên Quang,1,2,"Huyện Na Hang, Huyện Lâm Bình, Huyện Chiêm Hóa"
177,Tỉnh Tuyên Quang,2,2,"Huyện Hàm Yên, Huyện Yên Sơn"
178,Tỉnh Tuyên Quang,3,2,"Thành phố Tuyên Quang, Huyện Sơn Dương"
179,Tỉnh Vĩnh Long,1,3,"Thành phố Vĩnh Long, Huyện Long Hồ, Huyện Mang Thít, Huyện Tam Bình"
180,Tỉnh Vĩnh Long,2,3,"Thị xã Bình Minh, Huyện Bình Tân, Huyện Trà Ôn, Huyện Vũng Liêm"
181,Tỉnh Vĩnh Phúc,1,3,"Thành phố Vĩnh Yên, Thành phố Phúc Yên, Huyện Vĩnh Tường, Huyện Yên Lạc"
182,Tỉnh Vĩnh Phúc,2,3,"Huyện Sông Lô, Huyện Tam Dương, Huyện Tam Đảo, Huyện Lập Thạch, Huyện Bình Xuyên"
183,Tỉnh Yên Bái,1,3,"Thành phố Yên Bái, Huyện Yên Bình, Huyện Trấn Yên, Huyện Lục Yên"
184,Tỉnh Yên Bái,2,3,"Thị xã Nghĩa Lô, Huyện Văn Chấn, Huyện Trạm Tấu, Huyện Mù Cang Chải, Huyện Văn Yên"
